student name,age,average mark
Jeffrey Ermitanio,28,9.5
Stephanie Davis,27,9.36
John Snow,30,8.67
Barbara Gott,23,8.69
Sharon Deleon,19,7.66
Rigoberto Wilenkin,28,7.71
Mathew Embree,24,5.97
Bobby Walker,27,4.85
Jacqueline Macias,27,8.76
Benjamin Beck,27,8.8
Steve Williams,22,6.99
James Elick,29,9.68
Elva Diaz,20,7.79
Terrance Bruce,25,6.96
Mark Pearson,24,8.49
Arthur Lowrey,28,8.1
Scott Lopez,18,4.67
Hilario Lewis,24,8.95
Esther Urbancic,18,8.93
Eric Long,20,4.9
Matthew Perry,18,4.48
Lois Alexander,18,5.42
James Brokaw,28,6.26
Donald Lewis,27,8.64
Amanda Gunderson,22,4.73
Ryan Henricks,29,8.58
Michelle Mori,25,5.38
Stacy Erickson,22,5.69
Kevin Hadley,30,4.64
Daniel Lopez,23,4.66
Jose Perez,22,4.53
Nina Earp,21,9.88
Richard Stellhorn,21,7.53
Travis Sanchez,22,5.92
Earl Anderson,29,4.2
Antonio Watts,21,7.73
Katia Cowan,19,7.55
Michael Routzahn,29,5.97
Teresa Baridon,26,8.05
Bertram Eilerman,18,6.18
Dianne Lucero,22,8.73
Barbara Fine,28,4.7
Betty Ferreira,25,6.18
Charles Jimeson,24,4.34
Marta Wang,27,4.33
Travis Stanphill,29,8.21
John Ashley,24,6.39
John Merkel,28,7.08
Josephine Zechman,20,9.64
Mark Haven,27,8.27
Carlos London,28,7.19
Annemarie Keller,30,7.62
Robert Mccollough,24,5.85
Harold Slater,21,8.63
Benjamin Sykes,30,6.9
Vickie Potter,23,4.77
Susan Chavis,29,5.89
Patricia Robinson,18,5.61
Florence Smith,21,9.62
Olimpia Connolly,26,6.06
Robert Stehlik,22,8.79
Harry Mckenzie,24,4.15
Kelly Friel,23,4.44
Therese Butts,29,8.26
Brian Cole,28,8.75
Michael Zable,30,5.07
Otis Bubar,27,6.14
John Valdez,25,4.97
Denise Tanner,28,8.19
Catherine Wagner,30,4.32
Lorenzo Dayton,22,9.9
Shelby Martinez,26,5.74
Nina Berner,25,9.67
Rachel Bapties,26,8.1
Wesley Byron,18,8.03
Gregory Mccollum,30,9.8
Diane Brady,29,9.86
Christopher Hahn,21,5.22
Dennis Rogers,19,4.47
Gerald Hartley,21,5.9
Barbara Pagan,23,4.32
Trevor Hansen,30,6.03
Pamela Alexander,30,6.6
Don Smith,28,7.32
Thomas Hill,26,6.0
Catina Burgin,29,8.47
James Moore,23,7.56
Dorothy Laudat,24,7.63
Eloise Griner,26,9.36
Edna Huey,26,7.15
Cheryl Bennett,24,9.01
George Woodard,29,7.87
Louis French,28,7.63
Ruth Campbell,22,5.99
Anna Johansson,26,5.47
Cindy Christiansen,30,6.47
Buck Buban,23,8.28
Maria Wolfson,29,9.3
Joyce Abernathy,21,8.27
Adam Campbell,20,4.88
Astrid Denoon,25,6.89
Vera Mcdaniel,28,6.77
Teresa Triplett,20,7.02
Stacy Dingle,27,5.94
Peter Hutchins,30,4.16
Emma Garfield,23,4.24
George Ober,19,9.47
Linda Estrada,21,6.84
Jimmy Gee,24,9.77
Juanita Kimple,26,5.07
Morris Todd,24,7.88
Ruth Minor,30,4.32
Hilda Kofford,29,6.36
Jennifer Loftus,27,5.67
Kristy Gilbert,28,6.41
Juan Wall,22,8.08
Brandy Crockett,29,5.63
Stanley Guerrero,27,5.92
Kelly Baker,18,5.7
Thomas Phelan,29,4.34
Sarah Dye,22,7.13
Denise Myers,22,8.26
Wallace Lafleur,30,7.25
Esther Yother,18,9.38
Nicole Bussman,20,6.86
Edgar Meacham,24,5.6
Michael Dorland,27,7.83
Brenda Baumgartner,25,8.59
Loretta Bonsall,30,9.93
Arturo Orange,18,4.08
Larry Sims,22,7.41
Christopher Greene,28,4.63
Teresa Owings,28,9.74
Linda Herrington,26,5.62
Dora Hass,28,5.83
Joan Bodo,27,5.42
Thomas Steel,21,7.04
Walter Musick,28,4.47
Suzy Williams,18,4.62
Reginald Wilke,20,5.84
Anthony Gunter,30,4.74
Carlyn Harris,18,5.63
Elizabeth Scharf,28,8.47
Arlinda Kierzewski,26,5.12
Glenn Herren,24,8.62
Carolyn Weiss,20,6.36
Evelyn Curles,24,6.1
Kenneth Chase,25,6.73
Sue Carlock,19,6.6
Terry Chandler,30,5.21
Margaret Fahnestock,26,7.08
Terry Dale,18,7.86
Dorothy Burke,27,5.06
John Holm,30,9.92
Frederick Teel,22,8.66
Randy Wylie,22,4.58
Charles Miller,18,6.7
Leslie Johnson,26,6.99
Charlotte Leftwich,30,7.96
Donald Colantuono,30,4.91
Gina Rice,21,7.39
Ethel Freeman,19,4.38
Paul Thrasher,19,5.78
Marci Trimble,21,8.43
Lenny Castoe,29,4.36
Melissa Wozniak,20,9.13
Jan Cunningham,30,8.83
Daniel Hoobler,23,5.17
Anna Dixon,21,9.46
Xavier Bishop,28,6.34
William Nighman,26,5.07
Reinaldo Varrone,28,9.89
Gregory Schick,21,5.9
Kenneth Water,25,4.68
Ruby Winkler,24,5.61
Michael Weaver,21,7.59
Mark Jewell,21,9.15
Mary Buchanon,23,4.51
Michelle Mayhugh,25,6.19
Edna Avery,28,4.73
James Jenkins,23,5.79
Alex Heefner,21,5.12
Karen Denny,21,4.58
Matthew Gonzales,22,7.54
Linda Quella,24,8.31
Lynn Jones,30,5.8
Darryl Sutton,30,4.43
Marietta Ward,28,5.78
Gregory Knight,18,9.64
Terri Kelly,26,5.45
Peter Nevills,23,8.13
Christopher Ouzts,19,9.8
Maxine Zirin,20,6.1
Ruth Young,20,5.34
David Phillies,30,6.85
Lisa Sullivan,25,5.55
David Bourque,25,8.96
Adrianne Ali,20,6.84
Ernest Sommerville,27,4.16
Virginia Price,21,8.39
Leon Morgan,24,5.34
William Johnson,25,9.86
Nicholas Mathes,18,4.47
Alisa Smith,25,7.21
Yolanda Mays,27,5.57
Edith Shaffner,24,5.91
William Gonzales,30,6.71
Krista Henley,23,8.14
Yvonne King,19,6.73
Laura Hoffmann,29,6.1
Raymond Brooks,27,9.49
Arthur Loveless,30,5.47
Louis Jones,30,5.97
Sabine Smith,26,7.87
David Hill,21,8.02
John Gary,21,6.78
Johnny Huffman,18,5.98
Audrey Williams,18,6.78
Kelly Rodriguez,19,8.71
Keneth Burch,26,5.8
Sean Fox,24,7.69
Jan Leclair,22,8.35
Eric Feagin,22,8.85
Armanda Horgan,28,8.4
Kenneth Joyce,18,9.62
Maria Breton,22,7.93
David Parr,21,5.87
Logan Bartolet,24,7.59
Hubert Williams,29,6.88
Linda Foulkes,20,9.25
Phyllis Thomas,25,9.08
Lucille Berry,25,8.68
Frank Beauchesne,24,5.55
Kathryn Brown,19,6.24
Marilyn Mathews,29,6.05
Tim Moscoso,30,8.25
William Milligan,20,8.15
Nicholas Hahn,22,7.67
Melinda Ludgate,19,9.48
Theodore Yates,27,7.25
Ester Leis,21,6.43
Francis Robinson,27,4.19
Tina Bath,26,8.4
Mandy Hambric,29,8.22
Jose Martin,21,4.07
Helen Shoemake,24,8.07
Richard Castro,19,4.91
Willie Lowell,19,9.54
Jennie Ramlall,21,4.5
Karen Gavin,26,7.41
Michael Mckinnon,28,4.23
Priscilla Roper,20,6.69
Jonathan Newsome,18,4.97
Anthony Branch,25,6.3
Robert Gibson,30,6.59
Thomas Schade,23,4.16
Kirby Green,27,7.6
Brian Edwards,18,4.79
Debra Flores,21,6.25
David Macleod,21,9.12
Lois Nelsen,30,5.88
Wanda Jones,21,6.75
Marsha Robinson,18,8.76
Nicole Jeffries,28,9.94
Ann Turner,24,6.25
Agnes Warnock,25,9.38
Darlene Wertman,21,9.53
Leo Fleming,27,5.88
Nicholas Maldonado,26,9.73
Lanny Mccrary,27,7.31
Lee Walburn,19,5.99
Grace Souphom,20,4.33
Thomas Mason,19,8.88
Dudley Peterson,23,8.5
Jennifer Guerrero,27,5.02
Christopher Rash,23,7.76
Tracey Kelty,18,7.89
Patrick Hickman,22,9.87
Roland Charleston,26,9.45
Lucia Sherrill,23,8.46
Barbara Buck,27,8.09
Warren Pereira,26,6.42
Heather Peterson,28,6.67
Jasper Gonzalez,24,6.24
Diane Stclair,29,4.53
Dorothy Gosnell,22,7.31
Charles Childress,24,9.34
Linda Simmons,23,6.11
Todd Netterville,29,5.38
Rebecca Lamb,25,6.83
Tiffany Erkkila,23,4.52
Charles Hooper,20,5.09
Raymond Brickey,19,5.27
William Sheehan,22,4.54
Margaret Miller,26,6.83
Peggy Rael,27,9.0
Barbara Roy,22,7.19
Bernice Adams,29,6.98
Michael Hamel,23,8.97
Paul Swasey,23,4.92
Johanna Chavez,28,4.36
Gloria Gutierrez,29,6.63
Harry Rusher,27,7.69
Carlos Mcreynolds,19,6.85
Susan Peschel,26,9.74
Margaret Mcguire,19,7.17
John Peralta,22,9.95
Barbara Brown,25,4.94
Dustin Patrick,23,7.01
Brian Vargas,28,8.21
Rick Capizzi,25,8.9
Lisa Palmieri,29,6.59
Brenda Sumter,24,7.63
Laverne Radford,23,4.97
Heather Lish,21,4.08
Jeffrey Deane,18,5.5
Valerie Woode,27,7.79
Benjamin Brown,25,6.53
Timothy Armstrong,24,6.16
Krystal Janssen,24,7.73
Daniel Bell,30,5.16
George Basil,19,6.28
Lilian Rocha,26,8.72
Stanley Jackson,26,5.33
Christine Franks,30,7.31
Janelle Vecker,18,7.08
Grace Robbins,19,5.24
Joshua Ream,18,8.18
Georgia Calaf,20,9.18
Rhonda Leona,29,9.24
Charles Schueller,28,5.49
Leonor Adams,26,6.95
John Bond,28,9.29
Deirdre Marthe,24,7.48
Gene Utley,25,9.94
Lisa Wilson,20,9.13
Catherine Kim,22,9.36
Randolph Martin,24,8.77
Velma Jobe,30,4.22
Naomi Mendosa,21,4.03
William Grove,29,7.01
Sandra Hackney,29,5.68
Jennifer Higdon,28,9.61
Tina Tidwell,29,9.4
Emily Simpson,30,4.06
Frank Rasmussen,24,4.51
Lisa Strause,19,6.06
Donald Skinner,30,4.61
Robert Jordan,22,8.48
Enedina Mcneil,24,5.83
Nathaniel Boyd,18,5.46
Clyde Huelskamp,25,4.46
Lorena Harris,22,6.29
Walter Ham,25,7.2
Brian Lee,22,8.08
Jason Page,28,9.64
Deborah Watt,22,5.58
Christopher Zupancic,28,5.5
Helen Perkins,22,7.12
Nina Aber,23,7.79
Dwight Johnson,30,4.06
Allyson Gay,25,8.9
David Propes,24,7.61
Sheldon Johnson,29,4.64
Elana Bergeron,19,7.27
Lisa Rowe,19,7.85
William Filmore,18,4.56
Angela Stultz,24,7.6
John Collins,26,5.52
Thomas Meade,25,4.62
Ann Lorenz,20,9.85
Delphia Clarke,30,9.3
Richard Allen,21,4.44
Amelia Costain,29,6.9
Anisha Bridges,18,6.99
Marcus Denson,20,6.42
Almeda Stamey,25,5.29
Cindy Chapman,26,6.77
Jadwiga Truocchio,25,6.37
Ricky Bergman,18,5.26
Jennifer Franz,29,4.82
Brenda Painter,29,8.07
Robert Hawkins,26,4.92
Johnny Alvidrez,30,6.61
Meredith Spears,22,8.29
Kevin Walton,22,5.85
Dave White,20,7.53
Timothy Wagner,24,4.7
Billie Hodge,29,7.17
Angela Sangi,21,5.22
Paula Moore,23,6.74
Harold Aguilar,19,5.67
Rocky Brooks,19,6.56
Rachel Smith,29,9.5
Barbara Harry,18,4.24
Vicki Ricker,25,5.95
Terry Carlyle,19,7.24
Leslie Hamlin,30,6.67
Eugene Bunting,20,7.1
Bryan Hickerson,25,4.02
Amanda James,19,8.13
Steven Ball,21,7.25
George Surratt,26,6.42
Adriana Johnson,22,7.11
Rachel Russell,27,6.51
Rebecca Cully,18,4.83
Nancy Landrum,29,7.16
Elizabeth Howard,25,9.4
Clifford Perkins,18,5.68
Jonathan Koester,24,4.9
Dona Chambers,27,9.43
Sandra Schmiedeskamp,26,7.83
Viola Bailey,22,5.75
Joseph Head,24,9.97
Wesley Bouyer,30,9.94
Teresa Jones,19,9.99
Michael Ginn,24,8.54
Rebecca Imfeld,21,4.34
Cynthia Tippins,29,7.96
Inez Johnson,22,7.49
Beverly Hertzler,18,4.41
Helen Gloor,21,9.21
Gail Monahan,21,7.26
Marla Dodson,20,5.77
Adele Deemer,22,4.37
Jim Smith,20,8.18
Julian Gutierrez,22,4.23
Anna Payne,29,6.15
James Pratka,29,4.13
Sheila Linn,26,9.64
Delphine Yousef,18,8.84
Gwendolyn Alvarez,25,4.35
Howard Holloway,19,9.64
Harry Hanson,19,7.58
Bobby Shelton,22,4.72
Sara Wood,22,5.16
Michael Toller,29,5.24
Lisa Glover,18,7.62
Robert Figueroa,24,6.02
Margery Turner,21,6.98
Ladonna Guinyard,23,8.56
Anthony Sobus,25,9.43
Patrick Ruiz,28,5.32
Victor Santiago,20,6.31
Harry Wages,30,4.19
Celeste Pope,24,8.33
Royce Hale,28,8.83
Marie Powell,21,6.3
Eva Buske,26,5.29
Mary Ortiz,26,7.25
Edward Williams,21,8.56
William Moore,27,5.99
Robert Jackson,30,7.9
Jocelyn Jensen,20,6.64
Clayton Williams,26,5.82
Melinda Bass,19,9.45
Salvador Kinney,18,5.83
Patrick Rios,27,5.74
Janice Smith,23,6.43
Wilhelmina Collins,26,9.55
Mary Skeesick,25,6.26
David Diaz,22,9.11
Maritza Evans,27,9.8
Samuel Regan,30,8.45
Richard Madden,24,8.58
Bertha Boyd,21,6.67
Travis Gutierrez,19,5.88
Lisa Bernier,20,7.74
Willie Keith,24,7.21
Micheal Scott,21,5.54
Norma Dixon,19,5.9
Angel Rhoades,22,6.66
May Avent,27,4.22
Thad Banks,25,4.44
Marlene Leonard,22,5.2
Cora Fahey,23,7.37
Bessie Trivedi,26,8.6
Harold Delgado,30,6.31
Brenda Jackson,27,8.89
Nicole Larkin,22,8.27
Henry Ferrell,20,6.99
Holly White,27,7.29
Ryan Digeorgio,26,5.82
Floyd Anderson,20,7.22
Robert Cahill,28,4.58
Lori Villegas,24,9.77
Jennifer Maxie,30,6.87
Cindy Frazier,30,7.0
Jerome Harper,18,7.09
Christopher Luna,19,9.31
David Valdez,20,8.7
Ted Anderson,28,4.15
Marie Marn,18,4.53
James Doyle,18,5.98
Jerry Pinner,29,5.0
Eileen Fata,19,8.18
Gary Simmons,21,8.49
Willie Haven,29,5.16
John Meyer,29,8.28
Leola Murphy,25,8.96
Nina Baker,23,5.73
Edwin Zeger,30,7.64
Mildred Perkins,24,6.81
Yong Reaid,26,8.31
Lynn Walker,28,8.42
Jason Yates,19,7.55
Cedric Wallace,29,4.08
Anne Reedy,21,4.15
Ricky Tetreault,26,6.0
Gary Littleton,22,6.69
Brian Deubler,28,6.52
Adrian Colvin,29,6.69
Eleanor Schroder,21,7.5
Jean Gethers,28,6.89
Matthew Kim,23,8.1
Jennifer Mclean,19,4.71
Jesus Weckerly,25,9.68
Michael Boyd,20,4.94
Michael Chavarria,28,6.47
Sydney Anderson,30,7.15
William Julius,28,6.29
Richard Meza,19,6.99
Katherine Roche,28,7.13
Jacob Figgs,22,6.28
Thomas Weimer,29,4.32
Willie Mcgurk,19,5.99
Minnie Cook,28,7.51
Loretta Molina,21,8.69
James Harris,24,4.44
John Lyons,21,5.78
Annie Krings,21,7.61
Carrie Ontiveros,19,4.73
Marie Clausen,24,4.55
Robert Hung,23,5.55
Wesley Shah,23,6.91
Frank Lopez,30,6.66
Albert Coral,25,7.12
Kristine Harvey,22,4.83
Arlene Bauer,29,8.29
Connie Figueroa,23,9.86
Tom Bishop,27,4.48
James Harrison,19,5.6
Sheila Stier,30,5.88
Pearl Mckenna,26,9.45
Casey Williams,25,7.92
Yvette Heard,26,4.48
Paul Paneto,28,4.97
Christopher Iniguez,18,7.78
Sheila Hudson,29,5.37
Marilyn Sexton,21,5.97
Eric Marchetti,28,5.47
Veronica Benz,26,7.59
Mackenzie Horta,24,8.8
Nellie Cunningham,23,7.64
Teresa Valiente,28,8.89
Kate Pospicil,29,8.75
Lawrence Mccullough,27,5.51
Robert Hannan,23,7.27
Paul Miyoshi,18,5.05
Rebekah Leonardo,18,7.68
Lillian Sanders,26,4.7
Russell Tran,21,5.76
Charles Fletcher,30,6.28
Sibyl Barthelemy,18,7.47
Trena Head,23,4.02
Tracy Hogan,25,4.2
Christopher Scott,24,5.07
Peter Langenfeld,19,6.97
Sara Miller,21,7.37
Flora Allen,20,9.37
Sarah Figueiredo,27,8.94
Ronald Gotay,21,9.74
Maryanne White,22,8.68
Bettie Illsley,28,6.84
Margaret Eychaner,19,5.1
Frank Stevens,22,5.81
Anthony Huie,19,5.69
Jason Wainwright,20,7.13
Kenneth Robles,18,9.21
Chad Barnes,27,7.81
Kelly Holcomb,29,4.03
Ruby Astin,28,4.1
Laurie Marshall,20,5.71
Melanie Kath,20,8.14
Jessica Dubose,26,9.98
George Wofford,25,9.36
Elizabeth Hollyday,23,4.1
Gloria Gilreath,29,5.5
Kathleen Pruitt,24,4.43
James Bohman,20,6.95
John Ferreira,28,4.88
Everett Mccollough,28,5.82
Phyliss Wood,21,4.47
Jamie Wood,22,5.31
Ralph Finwall,30,8.17
Florence Lile,30,6.29
Geraldine Nelson,22,9.52
Robin Santiago,27,9.74
Maureen Daugherty,18,9.49
Matthew Grogan,28,7.05
James Ryan,25,9.54
Brian Christiansen,24,4.82
Sondra Bui,21,9.7
Janice Luna,21,7.6
Roger Felton,20,9.08
Gregory Harris,28,9.96
Jewell Pate,22,5.3
Antionette Blaydes,22,8.9
Lisa Harrison,23,8.22
Avery Chestnut,24,4.15
Alfred Mendez,29,9.9
Loretta Sullivan,20,7.7
Matthew Fischer,22,6.28
Fred Mckane,19,5.32
Aaron Netolicky,30,9.48
Mark Phillips,22,6.4
Curtis Aiello,19,5.2
Karen Spalding,29,9.24
Angelita Williamson,18,7.66
Rita Peterson,22,5.52
William Childs,18,9.05
Jackie Hummel,26,5.33
Lance Cainne,28,6.21
James Moore,22,7.15
Bambi Sholders,22,5.03
Pamela Collins,24,6.44
John Gray,26,5.99
Cynthia Greene,30,4.37
Lori Hennemann,20,6.25
Thomas Scruggs,23,4.82
Hattie Dougherty,20,4.15
Justin Mckenney,28,7.39
Mark Shippey,28,9.87
George Berti,19,4.11
Sheila Miranda,29,9.19
Gloria Kline,19,5.55
Ardith Thomas,18,4.24
Raymond Gagnon,24,6.08
Pamela Goehner,20,6.97
Julia Jackson,27,5.56
Jan Arndt,29,5.03
James Rivera,29,6.2
Jennifer Dullea,24,4.31
Laura Norris,21,9.02
Amy Marshall,19,9.72
Todd Wayman,26,6.5
Louis Parson,29,8.36
Charles Hawley,24,4.08
Tammy Munday,25,5.14
Dawn Oconor,20,9.64
Ila Tobin,27,5.46
Gloria Gaffney,22,9.37
Francis Fletcher,20,4.38
Tammy Perry,29,9.07
Robert Carrera,26,5.26
Sharron Ellis,24,4.94
Sheila Taylor,26,9.59
Richard Eaddy,22,7.86
Billy Chrisman,28,7.46
Dorothy Daugherty,23,9.13
Paul Colon,29,7.21
Justin Mann,30,4.81
Michelle Torres,29,6.33
Timothy Mercado,28,6.59
Christopher Frank,25,8.15
Johnnie Evans,18,8.86
Jean Carter,18,7.11
Matthew Mcdearmont,22,6.88
Dorothy Yeager,30,4.86
Ruth Rhodes,24,6.86
James Powers,25,6.07
Nell Dyson,29,5.27
Edward Bailey,27,6.71
Diana Patton,23,6.92
Barbara Copeland,19,9.27
Clarence Cerverizzo,30,4.0
Daniel Lloyd,20,6.62
Jeffrey Maxcy,24,4.25
Brian Heidinger,20,7.28
Howard Haitz,23,6.78
Barbara Leroy,27,8.85
Doris Scantling,26,5.97
Richard Caruthers,24,5.54
Mabel Dorch,27,4.56
Yolanda Conner,27,9.08
Susan Haley,26,7.99
Brenda Scott,22,4.09
George Lawless,24,9.48
Richard Snider,18,9.99
Florence Sooter,29,7.92
Ann Sorensen,19,5.1
Debbie Feazel,24,7.95
Blaine Gust,22,5.42
Gerald Gomez,21,9.62
Daniel Wilson,25,9.46
George Lapointe,28,5.96
Brian Darrow,28,5.92
Edward Jarvie,27,5.1
John Paolucci,26,7.67
Don Dryden,20,5.94
Tonya Sculley,29,4.54
William Erling,27,5.14
Annie Maddox,26,9.59
James Purcell,19,7.58
Theresa Morgan,26,9.03
Sean Dieteman,27,5.96
Joyce Robison,19,5.89
Larissa Stalling,23,7.82
Thomas Ramos,23,6.96
Kimberly Tarver,29,4.65
Louie Unrein,30,4.43
Miguel Bertalan,27,8.19
Brian Perkins,29,6.69
Brittney Muller,24,8.6
Terry Gillikin,19,6.92
Lela Sanders,25,4.36
Herman Mcavoy,30,8.17
Robert Ange,21,6.82
Stephanie Ramirez,21,6.33
Noah Minton,25,9.62
Cynthia Wood,24,6.47
Sue Mahon,28,6.82
Lisa Robards,25,5.33
John Jones,28,8.42
Roger Williams,26,9.39
Thomas Black,20,9.29
Leonore Mcmillian,23,5.66
Betty Mccoy,19,7.76
Janice Sousa,21,5.0
Emma Mottillo,24,8.7
Kristi Swanson,19,6.24
Ann Eaton,27,8.44
Olive Williams,28,6.54
Paul Rio,27,8.65
Earl Horan,26,6.6
Linda Mckoy,25,8.06
Kevin Brown,23,5.38
Jack Meza,26,7.07
Joe Smith,28,7.27
Don Knox,19,8.12
Teresa Robotham,26,6.3
Maryjane Shafer,21,7.26
Estella Neubauer,24,5.14
Cassandra Maldonado,25,9.95
Sherry Bean,26,4.03
Leonard Jackson,23,8.03
James Mills,19,5.35
Kristen Keri,19,6.44
Jerry Kirk,20,8.95
Angelo Landrum,28,4.93
Dora Swarr,22,4.18
Diane Laird,20,6.12
Darren Charbonneau,27,4.84
Barbara Lambert,28,5.43
Mark Waits,30,5.81
Ann Mondragon,19,5.76
Michelle Oneal,23,5.51
Carl Campbell,25,9.82
Alice Digangi,27,4.55
Frances Nez,30,9.64
Amber Wilson,24,8.96
Maria Ceraos,27,4.26
Jennifer Turner,29,4.33
Larry Smith,29,5.43
Daniel Dumar,28,9.07
Mary Macdonald,22,6.04
Johnnie Yepez,29,6.35
Stella Hallmark,20,7.76
Jimmy Dunnaway,27,4.87
Hilda Bohlke,23,7.34
Robert Maines,18,8.81
Richard Shackleford,19,8.86
Shane Machesky,24,8.83
Rodolfo Maldonado,18,7.97
Connie Butler,29,4.52
Michael Kath,19,9.28
Josephine Newbury,21,7.71
Martha Burton,24,8.0
Evelyn Johnson,24,8.18
Renee Munn,27,8.84
Brenna Szymansky,29,7.99
Luz Roseboro,29,8.46
Heather Garcia,28,9.98
Anita Tudor,26,5.05
Eddie Shiels,30,9.1
Edwin Broadwell,24,7.35
Corinne Hamblin,22,8.88
Connie Berry,24,7.87
Larry Fields,22,4.37
Amber Wallin,18,9.29
Richard Somers,27,4.48
Steve Williams,27,7.52
Lee Davis,30,9.91
Alice Hudson,21,9.25
Elissa Sinclair,29,7.02
Anita Mcpherson,21,5.13
Jackie Johnson,30,9.15
